id,name,nameEn,origin,originEn,genre,profile,profileEn,image,websiteUrl,snsTwitter,snsInstagram,snsYoutube,isFeatured
,FAMILY DISCO,FAMILY DISCO,,,dance,"大阪を中心に、音楽や遊び、マルシェなどを通して、人と人、人と街がつながるイベントを企画・運営しています。
商業施設や公園、公共空間などを舞台に、親子向けイベントをはじめ、地域や施設と連携したさまざまな場づくりを行ってきました。
2024年には「大人も子どもも、どちらかが付き合うのではなく一緒に楽しめる場所をつくりたい」という想いから「FAMILY DISCO」をスタート。
あべのキューズモールでの継続開催を中心に、てんしばなど大阪の街なかへ開催場所を広げています。
子どものためだけでも、大人のためだけでもない。
世代を越えて、それぞれが本気で楽しめる体験を街の中につくることを大切に活動しています。",,,https://www.instagram.com/qs_family_disco/,,https://www.instagram.com/qs_family_disco/,,
,高久知也,TAKAKU TOMOYA,,,music,"高久知也
様々なアーティストの作品やライブに参加するなど、幅広く活動するヴァイオリニスト、ギタリスト。ストリングスアレンジなども手がけ、楽曲提供もしている。その経験を活かした独自のスタイルで、自ら作編曲を手がけた曲と共に精力的にアーティスト活動中。
愛内里菜、ZARD、倉木麻衣、doa、Sensation、浅岡雄也(ex.FIELD OF VIEW)、植田真梨恵、近藤夏子、さあさ、Chicago Poodleなど数多くのアーティストのライブや録音に参加。(敬称略)",,,http://tomoyatakaku.com/,,https://www.instagram.com/tomoyasuseisakusyo/,,
,竹歳みずほ,TaketoshiMizuho,,,music,"関西関東中心に活動している竹歳みずほです。
毎年1回は関西にてバンドワンマンライブを開催しており、その他に単独ライブ、フリーライブといろんな場所でライブをしております。
歌って踊るポップな楽曲中心のオリジナル曲でパフォーマンスさせていただいております。
よろしくお願いいたします。",,,https://linktr.ee/taketoshimizuho,https://mobile.twitter.com/TakeMi_0814,https://www.instagram.com/0814_mizuho/,,
,ReLiFE!,ReLiFE!,,,dance,iLiFE!のコピーダンスグループです！,,,,https://x.com/ReLiFE_i,,,
,友安製作所,TOMOYASU SEISAKUSYO,,,exhibition,Add Colors to Everyone’s life. 1948年に、町工場として創業した友安製作所。今では、インテリアやDIYアイテムの製造・輸入・販売、空間のプロデュース、カフェの運営、まちづくりなどなど、人生に関わる多彩な事業を手がける会社です。,,,https://tomoyasu.co.jp/,,https://www.instagram.com/tomoyasuseisakusyo/,,
,木村石鹸工業株式会社,KIMURASOAP,,,music,上記作品紹介と同じ,,,,,,,
,Tミュージックファクトリー,T musicfactory,,,music,２００２年に設立し文化財、寺院、古民家、美術館など人々が心のよりどころを見つけにやってくる会場でのコンサートに力を入れて取り組んでいます。人々の胸を打つ音楽提供に徹している団体です。地域や助成先の信頼が厚く演奏者たちにとっても貴重な活躍の場となっています。若手の育成にも力を尽くしています。現代音楽のすばらしさ、日本の心を表す音楽のすばらしさをプログラムに必ず取り入れることを公演の意義としています。人々の胸を打たない音楽はやらないようにプログラムは厳選しています。皆さんそうだと思いますが個性を重視して個性がよく伝わるように厳選しています。運営は厳格に。聴衆からのご意見は毎回好評を頂いています。長く続けていますので信頼を得ています。若狭と金沢の２拠点での演奏活動で２拠点を結んで往来が生じるようにしています。これまでに北陸新幹線音楽プロジェクトや鯖街道音旅プロジェクトなどを成功させています。固定のファンも多くいます。,,,,,,,
,クレモナラボ,CREMONALABO,,,music,"クラシック音楽の「次の100年」へ——。
2016年結成。アストル・ピアソラの遺志を継ぐ、国内唯一の「ピアソラ専門」木管四重奏団。
50曲以上のすべての楽曲を自分たちの手でオリジナルアレンジし、楽譜を置かない「暗譜」スタイルでステージに挑む。
緻密な対位法と4本の管楽器の限界に挑むアドリブ、そしてクリアな音像。4本とは思えないダイナミックなサウンドと先進的な音響アプローチで、従来の室内楽の枠を軽やかに飛び越えていく。
ザ・シンフォニーホールでの主催公演の成功や、アルバムが「レコード芸術」誌にて特選盤・準特選盤に選出されるなど評価を高める一方、『となりの人間国宝さん』にも認定。2025年からは「クレモナユース・アンサンブル」を立ち上げ、次世代の育成にも力を注ぐ。
音楽・自家焙煎コーヒー・教育を軸に、五感を揺さぶる「新しい日常」を発信し続けるクリエイティブ集団。",,,https://cremona-luke.com,,https://www.instagram.com/cremona_labo,https://youtube.com/@cremonalabo,
,中村だいすけ,NAKAMURA DAISUKE,,,music,"生まれ故郷の長崎県で雲仙普賢岳噴火、小学生の時に移り住んだ神戸で阪神淡路大震災や犯罪事件を身近で経験。
心理学に関心を持ち臨床心理士となり神戸で開業。音楽療法、犯罪心理学を専門とし、刑事事件の心理分析を数多く担当。
シンガーソングライターとしての活動は大学生の頃に始め、2011年には、『風薫る』で全国CDデビューを果たす。
東日本大震災や熊本地震での支援活動、学校や地域での講演活動をはじめ、その活動は『歌う臨床心理士』として取り上げられ、新聞やテレビ、ラジオなどでもパーソナリティとして活動している。",,,https://nakamuradaisuke.com/,,,,
,うさぎや関西,USAGIYAKANSAI,,,music,関西発結成32年目の３ピースバンドうさぎやから、関西在住の2人（ギターボーカル＆ハーモニカ）が演奏します。,,,,,https://www.instagram.com/usagiya47,,
