id,name,nameEn,area,areaEn,address,addressEn,access,accessEn,description,descriptionEn,websiteUrl,snsTwitter,snsInstagram,image,capacity,lat,lng
kotanijo-kyodokan,小谷城郷土館,,堺・泉北,Sakai / Senboku,大阪府堺市南区豊田1602,"1602 Toyoda, Minami-ku, Sakai-shi, Osaka",泉北高速鉄道「栂・美木多駅」徒歩20分 / 南海バス「豊田南」下車すぐ,,古民家の広間、座敷,,http：//www.kotanijo.jp/,,,,60,34.4932363,135.4984478
den-umeda-toyosaki,(確認中）DEN梅田豊崎,,中崎町・豊崎,Nakazakicho / Toyosaki,北区豊崎1丁目1-3,"1-1-3 Toyosaki, Kita-ku, Osaka",Osaka Metro 谷町線「中崎町駅」徒歩7分 / 御堂筋線「中津駅」徒歩10分 / 各線「梅田駅」徒歩12分,,大正築の古民家宿,,https://www.airbnb.jp/rooms/1654129544051282148?guests=1&adults=1&s=67&unique_share_id=dd53d88a-a83e-46c6-ac9c-8313c9e39b31,,,,120,34.7104113,135.503502
absinthe-underground,The Absinthe Underground,,堀江・四ツ橋,Horie / Yotsubashi,大阪市西区北堀江1-2-27 AXIS SOUTH四ツ橋ビルB1F,"B1F AXIS SOUTH Yotsubashi Bldg., 1-2-27 Kitahorie, Nishi-ku, Osaka",Osaka Metro 四つ橋線「四ツ橋駅」徒歩1分 / 御堂筋線・長堀鶴見緑地線「心斎橋駅」徒歩5分,,"Located between Shinsaibashi and Horie, a 2-minute walk from Ame-mura’s Triangle Park, Absinthe Underground carries on the legacy of the former Absinthe Wormwood and Cafe Absinthe. A cozy, creative gathering spot where locals and travellers connect through music, art, and conversation, offering the perfect mix of energy and comfort for nights out, private parties, or simply unwinding by yourself.",,https://www.absintheunderground.com/,,https://www.instagram.com/theabsintheunderground/,,200,34.6733284,135.4971439
kawaguchi-church,川口基督教会,,本田・阿波座,Honda / Awaza,大阪市西区川口1丁目3−8,"1-3-8 Kawaguchi, Nishi-ku, Osaka",Osaka Metro 中央線・千日前線「阿波座駅」徒歩10分,,建立106年目を迎えた歴史的な建物で、荘厳な外観と内部空間、ステンドグラスなどの装飾により非日常的な空間を演出している。,,www.nskk.org/osaka/church/kawaguchi,,https://www.instagram.com/kawaguchi.cc.official,,80,34.6821017,135.4822034
grandfront-knowledge-plaza,グランフロント大阪 北館1F ナレッジプラザ,,梅田・大阪駅,Umeda / Osaka Station,大阪市北区大深町3-1,"3-1 Ofukacho, Kita-ku, Osaka",JR「大阪駅」徒歩5分 / Osaka Metro 御堂筋線「梅田駅」徒歩6分 / 阪急「大阪梅田駅」徒歩7分,,グランフロント大阪の中核施設「ナレッジキャピタル」の中心に位置するダイナミックな吹き抜け空間。,,https://www.gfo-ad.jp/index.html,,,,,34.70592,135.4944
falafel-time,Falafel Time,,塚本・西淀川,Tsukamoto / Nishiyodogawa,大阪市西淀川区柏里,"Kashiwazato, Nishiyodogawa-ku, Osaka",JR神戸線「塚本駅」徒歩3分,,細長く、両側に扉がある,,,,https://www.instagram.com/falafel_time_osaka/,,,34.71003,135.4692
momogaike-street,ももがいけすとりーと,,昭和町・西田辺,Showacho / Nishitanabe,大阪市阿倍野区桃ヶ池町1丁目（桃ヶ池公園北側）,"1 Momogaikecho (North side of Momogaike Park), Abeno-ku, Osaka",Osaka Metro 御堂筋線「昭和町駅」徒歩7分 / JR阪和線「南田辺駅」徒歩8分,,毎月5のつく日の午後、公園で紙芝居やパフォーマンスなどを行っています,,https://showacho.jp/2023/11/14/%E3%82%82%E3%82%82%E3%81%8C%E3%81%84%E3%81%91%E3%81%99%E3%81%A8%E3%82%8A%E3%83%BC%E3%81%A8%E5%AE%9F%E6%96%BD%E4%B8%AD/,,,,,34.63047,135.5211
abeno-qs-mall,あべのキューズモール,,天王寺・阿倍野,Tennoji / Abeno,大阪市阿倍野区桃ヶ池町1丁目（桃ヶ池公園北側）,"1-6-1 Abenosuji, Abeno-ku, Osaka",各線「天王寺駅」徒歩3分 / Osaka Metro 谷町線「阿倍野駅」徒歩1分 / 近鉄「大阪阿部野橋駅」徒歩3分,,,,https://qs-mall.jp/abeno/,,,,,34.64533,135.5117
tenshiba,てんしば,,天王寺・阿倍野,Tennoji / Abeno,大阪市阿倍野区桃ヶ池町1丁目（桃ヶ池公園北側）,"5-55 Chausuyamacho, Tennoji-ku, Osaka",各線「天王寺駅」徒歩2分 / 近鉄「大阪阿部野橋駅」徒歩4分,,,,https://www.tennoji-park.jp/,,https://www.instagram.com/tenshiba_official/,,,34.64854,135.511
namba-hiroba,（調整中）なんば広場,,昭和町・西田辺,Showacho / Nishitanabe,大阪市阿倍野区桃ヶ池町1丁目（桃ヶ池公園北側）,"1 Momogaikecho (North side of Momogaike Park), Abeno-ku, Osaka",Osaka Metro 御堂筋線「昭和町駅」徒歩7分 / JR阪和線「南田辺駅」徒歩8分,,,,https://www.namba-hiroba.jp/,,https://www.instagram.com/nambahiroba/,,,34.66555,135.501
